"Country","Overall score","Rank","Electoral process","Functioning gov","Political participation","Political culture","Civil liberties"
"Norway",9.87,1,10.00,9.64,10.00,10.00,9.71
"Iceland",9.58,2,10.00,9.29,8.89,10.00,9.71
"Sweden",9.39,3,9.58,9.64,8.33,10.00,9.41
"New Zealand",9.26,4,10.00,9.29,8.89,8.13,10.00
"Finland",9.25,5,10.00,8.93,8.89,8.75,9.71
"Ireland",9.24,6,10.00,7.86,8.33,10.00,10.00
"Denmark",9.22,7=,10.00,9.29,8.33,9.38,9.12
"Canada",9.22,7=,9.58,9.64,7.78,9.38,9.71
"Australia",9.09,9,10.00,8.93,7.78,8.75,10.00
"Switzerland",9.03,10,9.58,9.29,7.78,9.38,9.12
"Netherlands",9.01,11,9.58,9.29,8.33,8.75,9.12
"Luxembourg",8.81,12,10.00,8.93,6.67,8.75,9.71
"Germany",8.68,13,9.58,8.57,8.33,7.50,9.41
"United Kingdom",8.52,14,9.58,7.50,8.89,7.50,9.12
"Uruguay",8.38,15,10.00,8.57,6.11,7.50,9.71
"Austria",8.29,16=,9.58,7.86,8.33,6.88,8.82
"Spain",8.29,16=,9.58,7.14,7.78,8.13,8.82
"Mauritius",8.22,18,9.17,8.21,5.56,8.75,9.41
"Costa Rica",8.13,19,9.58,7.50,6.67,7.50,9.41
"France",8.12,20,9.58,7.86,7.78,6.88,8.53
"Chile",8.08,21,9.58,8.57,5.00,8.13,9.12
"Portugal",8.03,22,9.58,7.86,6.11,7.50,9.12
"South Korea",8.00,23,9.17,7.86,7.22,7.50,8.24
"Japan",7.99,24,8.75,8.21,6.67,7.50,8.82
"United States",7.96,25,9.17,7.14,7.78,7.50,8.24
"Malta",7.95,26,9.17,7.50,6.11,8.13,8.82
"Estonia",7.90,27,9.58,7.86,6.67,6.88,8.53
"Israel",7.86,28,9.17,7.86,8.89,7.50,5.88
"Botswana",7.81,29,9.17,7.14,6.11,7.50,9.12
"Cabo Verde",7.78,30,9.17,7.36,6.67,6.88,8.82
"Taiwan",7.73,31,9.58,8.21,6.11,5.63,9.12
"Czech Republic",7.69,32,9.58,6.79,6.67,6.88,8.53
"Belgium",7.64,33,9.58,8.21,5.00,6.88,8.53
"Cyprus",7.59,34,9.17,6.43,6.67,6.88,8.82
"Italy",7.52,35,9.58,6.07,7.78,6.25,7.94
"Slovenia",7.50,36=,9.58,6.79,6.67,6.25,8.24
"Lithuania",7.50,36=,9.58,6.43,6.11,6.25,9.12
"Latvia",7.49,38,9.58,6.07,6.11,6.88,8.82
"Greece",7.43,39,9.58,4.86,6.67,7.50,8.53
"South Africa",7.24,40,7.42,7.50,8.33,5.00,7.94
"Timor-Leste",7.19,41,9.58,6.29,5.56,6.88,7.65
"Slovakia",7.17,42,9.58,7.14,5.56,5.63,7.94
"Malaysia",7.16,43=,9.17,7.86,6.67,6.25,5.88
"Trinidad and Tobago",7.16,43=,9.58,7.14,6.11,5.63,7.35
"Colombia",7.13,45,9.17,6.79,5.56,5.63,8.53
"Panama",7.05,46,9.58,6.07,6.67,5.00,7.94
"Bulgaria",7.03,47,9.17,6.43,7.22,4.38,7.94
"Argentina",7.02,48,9.17,5.36,6.11,6.25,8.24
"Suriname",6.98,49,9.17,6.43,6.67,5.00,7.65
"Jamaica",6.96,50,8.75,7.14,4.44,6.25,8.24
"India",6.90,51,8.67,6.79,6.67,5.63,6.76
"Brazil",6.86,52,9.58,5.36,6.11,5.00,8.24
"Tunisia",6.72,53,9.17,5.71,7.22,5.63,5.88
"Philippines",6.64,54,9.17,5.36,7.22,4.38,7.06
"Ghana",6.63,55=,8.33,5.71,6.67,6.25,6.18
"Hungary",6.63,55=,8.75,6.07,5.00,6.25,7.06
"Poland",6.62,57,9.17,6.07,6.11,4.38,7.35
"Peru",6.60,58,9.17,5.00,5.56,5.63,7.65
"Croatia",6.57,59,9.17,6.07,5.56,5.00,7.06
"Dominican Republic",6.54,60=,9.17,5.36,6.11,5.00,7.06
"Lesotho",6.54,60=,9.17,4.50,6.67,5.63,6.76
"Mongolia",6.50,62,9.17,5.71,5.56,5.00,7.06
"Romania",6.49,63,9.17,5.71,5.56,4.38,7.65
"Indonesia",6.48,64,7.92,7.14,6.11,5.63,5.59
"Namibia",6.43,65,6.58,5.36,6.67,5.63,7.94
"Serbia",6.41,66,8.25,5.36,6.11,5.00,7.35
"Ecuador",6.33,67,8.75,5.36,6.11,4.38,7.06
"Thailand",6.32,68,7.42,5.36,6.11,6.25,6.47
"Sri Lanka",6.27,69,7.00,6.07,5.56,6.25,6.47
"Paraguay",6.24,70,8.75,5.71,5.00,4.38,7.35
"El Salvador",6.15,71=,9.17,4.64,6.11,3.75,7.06
"Guyana",6.15,71=,6.92,5.36,6.11,5.00,7.35
"Mexico",6.09,73,7.83,6.07,7.22,3.13,6.18
"Papua New Guinea",6.03,74,6.92,6.07,3.89,5.63,7.65
"Hong Kong",6.02,75=,3.58,4.36,6.11,7.50,8.53
"Singapore",6.02,75=,3.92,7.86,5.00,6.25,7.06
"North Macedonia",5.97,77,7.00,5.36,6.67,3.75,7.06
"Ukraine",5.90,78,7.42,2.71,6.67,6.25,6.47
"Albania",5.89,79,7.00,5.36,4.44,5.00,7.65
"Bangladesh",5.88,80,7.83,6.07,6.11,4.38,5.00
"Fiji",5.85,81,6.58,5.36,6.11,5.63,5.59
