,Country,Democracy,Expectancy,PopulationD,Gini,AgeMed,Skyscraper,Children,PressF,Overall score,Rank,Electoral process,Functioning gov,Political participation,Political culture,Civil liberties
0,Afghanistan,0,64.1,58.3,36.8,18.4,75.0,4.18,36.55,2.85,141=,3.42,0.64,3.89,2.5,3.82
1,Albania,0,78.5,105.0,29.0,36.4,91.0,1.7,29.84,5.89,79,7.0,5.36,4.44,5.0,7.65
2,Algeria,0,78.1,18.1,27.6,28.5,270.0,2.59,45.75,4.01,113,3.08,2.86,5.0,5.0,4.12
3,Angola,0,65.0,25.5,42.6,16.7,145.0,5.48,34.96,3.72,119,2.25,2.86,5.56,5.0,2.94
4,Argentina,1,77.0,16.4,42.4,31.5,235.0,2.25,28.3,7.02,48,9.17,5.36,6.11,6.25,8.24
5,Armenia,0,75.9,104.0,32.6,35.4,85.0,1.59,28.98,5.54,86,7.5,5.36,6.11,3.13,5.59
6,Australia,1,82.7,3.28,32.3,37.9,322.5,1.82,16.55,9.09,9,10.0,8.93,7.78,8.75,10.0
7,Austria,1,82.0,109.0,30.5,43.5,220.0,1.53,15.33,8.29,16=,9.58,7.86,8.33,6.88,8.82
8,Azerbaijan,0,71.1,122.0,32.4,32.3,210.0,2.02,59.13,2.75,146,0.5,3.21,2.78,3.75,3.53
9,Bahrain,0,79.8,2160.0,40.0,32.5,269.7,1.96,61.31,2.55,149,0.83,2.71,2.78,4.38,2.06
10,Bangladesh,0,73.7,1250.0,32.4,27.6,171.0,2.02,50.74,5.88,80,7.83,6.07,6.11,4.38,5.0
11,Belarus,0,74.5,46.6,27.0,40.3,133.0,1.72,51.66,2.48,150,0.92,2.0,2.78,4.38,2.35
12,Belgium,1,81.7,381.0,27.7,41.9,150.0,1.8,12.07,7.64,33,9.58,8.21,5.0,6.88,8.53
13,Benin,0,65.3,105.0,47.8,18.8,64.0,4.77,31.74,5.09,97=,4.67,5.71,4.44,5.63,5.0
14,Bhutan,0,74.7,20.0,37.4,28.1,22.0,1.96,29.81,5.3,91,8.75,6.79,2.78,4.38,3.82
15,Bolivia,0,73.3,10.6,44.6,25.6,150.0,2.77,35.38,4.84,104,4.75,3.93,5.0,3.75,6.76
16,Bosnia and Herzegovina,0,77.0,64.7,32.7,43.1,142.0,1.41,29.02,4.86,102=,6.17,2.93,5.56,3.75,5.88
17,Botswana,1,69.8,4.06,60.5,24.0,105.0,2.6,25.09,7.81,29,9.17,7.14,6.11,7.5,9.12
18,Brazil,1,75.9,25.3,51.3,33.5,281.0,1.69,32.79,6.86,52,9.58,5.36,6.11,5.0,8.24
19,Bulgaria,1,75.1,64.5,37.4,44.6,125.8,1.6,35.11,7.03,47,9.17,6.43,7.22,4.38,7.94
20,Burkina Faso,0,62.5,74.3,35.3,17.6,48.0,5.11,24.53,4.04,112,3.92,2.71,4.44,5.0,4.12
21,Burundi,0,62.3,449.0,38.6,17.3,32.0,5.45,52.89,2.15,154,0.0,0.07,3.33,5.0,2.35
22,Côte d’Ivoire,0,63.3,80.9,41.5,18.9,158.0,4.72,29.52,4.05,111,4.33,2.86,3.33,5.63,4.12
23,Cambodia,0,70.4,93.4,42.0,25.6,187.3,2.47,45.9,3.53,124,0.83,4.64,3.33,5.63,3.24
24,Cameroon,0,63.8,54.7,46.6,18.7,90.0,4.51,43.32,2.85,141=,1.67,2.5,3.33,4.38,2.35
25,Canada,1,82.2,4.11,31.1,41.1,298.1,1.56,15.69,9.22,7=,9.58,9.64,7.78,9.38,9.71
26,Central African Republic,0,52.9,7.62,56.2,17.6,50.0,4.65,47.27,1.32,165,1.25,0.0,1.11,1.88,2.35
27,Chad,0,60.6,12.7,43.3,16.6,70.0,5.65,36.71,1.61,163,0.0,0.0,1.67,3.75,2.65
28,Chile,1,80.0,25.5,47.7,35.3,300.0,1.75,25.65,8.08,21,9.58,8.57,5.0,8.13,9.12
29,China,0,77.5,153.0,39.1,38.4,632.0,1.64,78.92,2.26,153,0.0,4.29,3.33,2.5,1.18
30,Colombia,1,80.5,45.4,50.8,31.3,216.0,1.8,42.82,7.13,45,9.17,6.79,5.56,5.63,8.53
31,Comoros,0,69.1,457.0,45.3,20.4,36.0,4.14,27.91,3.15,131,2.08,2.21,3.89,3.75,3.82
32,Costa Rica,1,79.8,98.9,48.7,33.5,101.3,1.74,12.24,8.13,19,9.58,7.5,6.67,7.5,9.41
33,Croatia,1,78.8,73.8,31.1,44.3,108.0,1.44,29.03,6.57,59,9.17,6.07,5.56,5.0,7.06
34,Cuba,0,78.5,106.0,43.4,42.2,129.5,1.72,63.81,2.84,143,0.0,3.57,3.33,4.38,2.94
35,Cyprus,1,82.0,130.0,34.0,37.3,78.0,1.33,21.74,7.59,34,9.17,6.43,6.67,6.88,8.82
36,Czech Republic,1,79.5,138.0,25.9,43.2,111.0,1.59,24.89,7.69,32,9.58,6.79,6.67,6.88,8.53
37,"Congo, Dem. Rep.",0,63.0,38.3,42.1,17.0,88.0,5.82,51.71,1.13,166,0.0,0.0,1.67,3.13,0.88
38,Denmark,1,81.0,136.0,28.2,42.3,120.0,1.77,9.87,9.22,7=,10.0,9.29,8.33,9.38,9.12
39,Djibouti,0,68.6,42.0,44.1,26.6,36.0,2.67,71.36,2.77,144,0.42,1.29,3.89,5.63,2.65
40,Dominican Republic,1,73.5,222.0,45.3,28.0,171.0,2.34,27.9,6.54,60=,9.17,5.36,6.11,5.0,7.06
41,Ecuador,1,77.2,70.0,45.0,27.9,136.6,2.41,31.88,6.33,67,8.75,5.36,6.11,4.38,7.06
42,Egypt,0,71.0,101.0,31.8,24.6,143.0,3.1,56.47,3.06,137=,2.67,3.21,3.33,3.75,2.35
43,El Salvador,1,74.5,311.0,40.0,27.6,104.0,2.02,29.81,6.15,71=,9.17,4.64,6.11,3.75,7.06
44,Equatorial Guinea,0,66.3,48.3,40.0,22.3,58.0,4.43,58.35,1.92,161,0.0,0.43,3.33,4.38,1.47
45,Eritrea,0,63.4,34.6,40.0,19.2,36.0,3.92,80.26,2.37,152,0.0,2.14,1.67,6.88,1.18
46,Estonia,1,78.5,31.3,32.7,42.4,123.7,1.67,12.27,7.9,27,9.58,7.86,6.67,6.88,8.53
