"Country","Democracy","Expectancy","PopulationD","Gini","AgeMed","Skyscraper","Children","PressF"
"Afghanistan",0,64.1,58.3,36.8,18.4,75,4.18,36.55
"Albania",0,78.5,105,29,36.4,91,1.7,29.84
"Algeria",0,78.1,18.1,27.6,28.5,270,2.59,45.75
"Angola",0,65,25.5,42.6,16.7,145,5.48,34.96
"Argentina",1,77,16.4,42.4,31.5,235,2.25,28.3
"Armenia",0,75.9,104,32.6,35.4,85,1.59,28.98
"Australia",1,82.7,3.28,32.3,37.9,322.5,1.82,16.55
"Austria",1,82,109,30.5,43.5,220,1.53,15.33
"Azerbaijan",0,71.1,122,32.4,32.3,210,2.02,59.13
"Bahrain",0,79.8,2160,40,32.5,269.7,1.96,61.31
"Bangladesh",0,73.7,1250,32.4,27.6,171,2.02,50.74
"Belarus",0,74.5,46.6,27,40.3,133,1.72,51.66
"Belgium",1,81.7,381,27.7,41.9,150,1.8,12.07
"Benin",0,65.3,105,47.8,18.8,64,4.77,31.74
"Bhutan",0,74.7,20,37.4,28.1,22,1.96,29.81
"Bolivia",0,73.3,10.6,44.6,25.6,150,2.77,35.38
"Bosnia and Herzegovina",0,77,64.7,32.7,43.1,142,1.41,29.02
"Botswana",1,69.8,4.06,60.5,24,105,2.6,25.09
"Brazil",1,75.9,25.3,51.3,33.5,281,1.69,32.79
"Bulgaria",1,75.1,64.5,37.4,44.6,125.8,1.6,35.11
"Burkina Faso",0,62.5,74.3,35.3,17.6,48,5.11,24.53
"Burundi",0,62.3,449,38.6,17.3,32,5.45,52.89
"Cote d'Ivoire",0,63.3,80.9,41.5,18.9,158,4.72,29.52
"Cambodia",0,70.4,93.4,42,25.6,187.3,2.47,45.9
"Cameroon",0,63.8,54.7,46.6,18.7,90,4.51,43.32
"Canada",1,82.2,4.11,31.1,41.1,298.1,1.56,15.69
"Central African Republic",0,52.9,7.62,56.2,17.6,50,4.65,47.27
"Chad",0,60.6,12.7,43.3,16.6,70,5.65,36.71
"Chile",1,80,25.5,47.7,35.3,300,1.75,25.65
"China",0,77.5,153,39.1,38.4,632,1.64,78.92
"Colombia",1,80.5,45.4,50.8,31.3,216,1.8,42.82
"Comoros",0,69.1,457,45.3,20.4,36,4.14,27.91
"Costa Rica",1,79.8,98.9,48.7,33.5,101.3,1.74,12.24
"Croatia",1,78.8,73.8,31.1,44.3,108,1.44,29.03
"Cuba",0,78.5,106,43.4,42.2,129.5,1.72,63.81
"Cyprus",1,82,130,34,37.3,78,1.33,21.74
"Czech Republic",1,79.5,138,25.9,43.2,111,1.59,24.89
"Congo, Dem. Rep.",0,63,38.3,42.1,17,88,5.82,51.71
"Denmark",1,81,136,28.2,42.3,120,1.77,9.87
"Djibouti",0,68.6,42,44.1,26.6,36,2.67,71.36
"Dominican Republic",1,73.5,222,45.3,28,171,2.34,27.9
"Ecuador",1,77.2,70,45,27.9,136.6,2.41,31.88
"Egypt",0,71,101,31.8,24.6,143,3.1,56.47
"El Salvador",1,74.5,311,40,27.6,104,2.02,29.81
"Equatorial Guinea",0,66.3,48.3,40,22.3,58,4.43,58.35
"Eritrea",0,63.4,34.6,40,19.2,36,3.92,80.26
"Estonia",1,78.5,31.3,32.7,42.4,123.7,1.67,12.27
"Ethiopia",0,69.1,112,39.1,19.5,117.7,3.86,35.11
"Fiji",0,68.3,48.7,36.7,27.9,65,2.45,27.18
"Finland",1,81.8,18.2,27.1,43.1,134,1.78,7.9
"France",1,83.1,119,32.7,42.3,231,1.97,22.21
"Gabon",0,69,8.43,38,22.5,54,3.59,35.6
"Gambia",0,66.4,232,35.9,17.8,43,5.22,31.35
"Georgia",0,73.2,57.5,36.5,38.3,200,1.97,28.98
"Germany",1,80.9,240,31.7,45.7,300.1,1.48,14.6
"Ghana",1,66.1,134,42.4,21.5,92,3.81,20.81
"Greece",1,81.3,81.3,36,45.5,103,1.3,29.08
"Guatemala",0,73.1,164,48.3,22.9,101,2.82,35.94
"Guinea",0,61.6,52,33.7,18,100,4.62,33.49
"Guinea-Bissau",0,60.7,68.3,50.7,18.8,52,4.41,30.95
"Guyana",1,69.5,3.98,43.2,26.7,32,2.44,26.63
"Haiti",0,65.7,409,50.9,24,49,2.77,29
"Honduras",0,74.3,87.1,50.1,24.3,122.5,2.35,48.53
"Hong Kong",1,84.68,6659,53.9,43.2,484,1.12,29.65
"Hungary",1,77.2,107,30.4,43.3,100,1.41,30.44
"Iceland",1,83,3.38,27.8,37.5,76,1.91,14.71
"India",1,69.5,460,35.1,28.4,320,2.26,45.67
"Indonesia",1,71.9,149,38.2,29.7,288.6,2.29,36.77
"Iran",0,77.8,50.9,38.8,32,162.5,1.59,64.41
"Iraq",0,77.1,90.5,29.5,21,155,4.19,52.6
"Ireland",1,82.3,70.9,31.8,38.2,79,1.98,15
"Israel",1,83.3,394,41.4,30.5,238.5,2.89,30.8
"Italy",1,83.5,206,35.4,47.3,231,1.51,24.98
"Jamaica",1,74.9,272,45.5,30.7,60,1.97,11.13
"Japan",1,84.5,348,32.1,48.4,300,1.5,29.36
"Jordan",0,79.6,114,33.7,23.8,188,3.18,43.11
"Kazakhstan",0,72.8,6.87,26.9,30.7,210,2.54,52.82
"Kenya",0,66.7,92.4,40.8,20.1,200,3.68,32.44
"Kuwait",0,83.3,236,40,36.8,412.6,1.94,33.86
"Kyrgyz Republic",0,73,33.5,26.8,26,75,2.86,29.92
"Laos",0,67.28,32,36.4,24.4,65,2.71,64.49
"Latvia",1,75.4,30.7,34.2,43.9,130,1.59,19.53
"Lebanon",0,78.1,670,31.8,29.6,195.2,1.7,32.44
"Lesotho",1,56.1,70,54.2,24,36,2.95,29.74
"Liberia",0,65.2,51.3,33.2,19.4,36,4.38,31.49
"Libya",0,73.3,3.85,40,28.8,144,2.16,55.77
"Lithuania",1,75.4,44,37.4,45.1,129,1.68,22.06
"Luxembourg",1,82,238,33.8,39.7,107,1.61,15.66
"Madagascar",0,64.2,46.4,42.7,19.6,125,4.02,27.76
"Malawi",0,64.2,198,45.5,18.1,43,4.38,29.36
"Malaysia",1,75,97.2,41,30.3,451.9,1.98,36.74
"Mali",0,62.9,16.1,33,16.3,80,5.79,35.23
"Malta",1,81.3,1380,29.4,42.6,97.5,1.49,29.74
"Mauritania",0,71,4.39,32.6,20.1,54,4.49,31.65
"Mauritius",1,75,625,35.8,37.5,124,1.42,28.46
"Mexico",1,75.6,65.6,45.9,29.2,305.3,2.09,46.78
"Moldova",0,73.1,123,26.4,37.6,91,1.23,31.21
"Mongolia",1,69.3,2.08,32.4,28.2,120,2.63,29.51
"Montenegro",0,76.7,46.7,31.9,38.8,65,1.65,32.74
"Morocco",0,74.4,81.7,39.6,29.5,210,2.38,43.98
"Mozambique",0,59.9,38.6,54,17.6,130,5.05,32.66
"Myanmar",0,69.1,82.7,38.1,29,122,2.15,44.92
"Namibia",1,67.2,3.03,59.1,21.8,100,3.24,18.95
"Nepal",0,71.5,200,32.8,24.6,68,2.02,33.4
"Netherlands",1,81.8,507,28.2,43.3,164.8,1.75,8.63
"New Zealand",1,81.9,18.2,35,38,180.1,1.96,10.75
"Nicaragua",0,79.2,54.4,46.2,26.5,70,2.12,35.53
"Niger",0,63.2,18.4,34.3,15.2,56,7.07,29.26
"Nigeria",0,65.2,221,43,18.1,160,5.32,36.5
"North Korea",0,72.4,213,37,35.3,330,1.88,83.4
"North Macedonia",0,76.8,82.6,35.6,39.1,138,1.56,31.66
"Norway",1,82.6,14.7,27.5,39.8,117,1.83,7.82
"Oman",0,77.6,16.1,40,30.6,53,2.46,43.42
"Pakistan",0,67.2,281,33.5,22.8,273,3.29,45.83
"Palestine",0,77.2,827,33.7,20.8,76,3.82,44.68
"Panama",1,79.7,57.1,50.4,29.7,284,2.43,29.78
"Papua New Guinea",1,58.9,19.4,41.9,22.4,90,3.52,24.7
"Paraguay",1,76.4,17.7,47.9,26.3,145,2.4,32.4
"Peru",1,80.8,25.4,43.8,31,140.1,2.31,30.22
"Philippines",1,70,363,42.2,25.7,318,2.84,43.91
"Poland",1,78.4,124,30.8,41.7,187.68,1.29,28.89
"Portugal",1,81.8,112,35.5,46.2,120,1.24,12.63
"Qatar",0,80.5,244,40,32.3,300,1.85,42.51
"Romania",1,75.4,84.1,28.3,43.2,137,1.55,25.67
"Russia",0,72.5,8.91,37.7,39.6,462,1.77,50.31
"Rwanda",0,69.1,512,45.1,20,90,3.67,52.43
"Saudi Arabia",0,77.1,15.9,40,31.8,601,2.42,65.88
"Senegal",0,68.6,84.6,40.3,18.5,76.2,4.55,25.81
"Serbia",1,76,100,34.1,41.6,141,1.63,31.18
"Sierra Leone",0,61.3,108,34,19.4,64,4.17,30.36
"Singapore",1,85.1,8290,40.9,42.2,290,1.27,51.41
"Slovak Republic",1,77.7,113,26.5,41.2,125,1.48,23.58
"Slovenia",1,81.4,103,25.4,44.5,89,1.65,22.31
"South Africa",1,66.9,48.3,63,27.6,234,2.38,22.19
"South Korea",1,83,527,31.6,43.7,555.7,1.35,24.94
"Spain",1,83.3,93.7,36.2,44.9,249,1.41,21.99
"Sri Lanka",1,77.8,340,39.8,34,240,2.01,39.61
"Sudan",0,70.8,24.3,35.4,19.7,130,4.35,72.45
"Suriname",1,72.3,3.73,61,29,44,2.3,16.38
"Sweden",1,82.8,24.5,29,41.1,190,1.91,8.31
"Switzerland",1,84.3,217,32.3,43.1,178,1.56,10.52
"Syria",0,71.5,93,35.2,25.6,120.2,2.77,71.78
"Taiwan",1,80.4,649,33.8,42.5,508,1.13,24.98
"Tajikistan",0,70.8,66.6,34,22.4,92,3.22,54.02
"Tanzania",0,67.7,65.5,37.8,18,152.7,4.83,36.28
"Thailand",1,78.6,136,36,40.1,317,1.44,44.1
"East Timor",1,71.3,87,28.7,20.8,36,4.09,29.93
"Togo",0,65,149,43.1,19.4,102,4.26,29.69
"Trinidad and Tobago",1,74.5,272,41.3,36.2,120,1.72,24.74
"Tunisia",1,78.7,75.3,35.8,32.8,83,2.12,29.61
"Turkey",0,79.5,108,41.9,31.5,293,2,52.81
"Turkmenistan",0,70.3,12.6,46.4,26.9,106.7,2.74,85.44
"Uganda",0,66.6,222,42.8,16.7,90,5.32,39.42
"Ukraine",0,70.8,75.9,25,41.2,162.6,1.58,32.46
"United Arab Emirates",0,73.6,117,40,32.6,828,1.7,43.63
"United Kingdom",1,81.1,279,33.2,40.5,309.7,1.87,22.23
"United States",1,78.6,36,41.5,38.3,541.3,1.9,25.69
"Uruguay",1,77.3,19.8,39.7,35.8,160,1.96,16.06
"Uzbekistan",0,70.7,77.5,33.5,27.8,108,2.21,53.52
"Venezuela",0,75.1,32.3,46.9,29.6,262.5,2.25,49.1
"Vietnam",0,74.7,311,35.3,32.5,461.2,1.94,74.93
"Yemen",0,68.1,55.2,36.7,20.2,100,3.69,61.66
"Zambia",0,64,24,57.1,17.6,90,4.81,36.38
"Zimbabwe",0,62,37.9,43.2,18.7,120,3.53,42.23
